NR_INWENT;NAZWA;REGION;GMINA;WLASCICIEL;DLUGOSC;GLEBOKOSC;PRZEWYZSZE;DENIWELACJ;OSUWISKOWA;X_1992;Y_1992;ID;ROK_AKTUAL;CPU
T.B-09.11;Dziura w Żlebku;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;11;0;0;0;0;564112.72;155412.89;979;2013
T.C-05.04;Schron w Skale Kmietowicza I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4.7;0;1.3;1.3;0;559314.81;154731.04;1040;2014
G-5.10;Jaskinia Chalcedonitowa II;Region Świętokrzyski;Małogoszcz (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2.5;1;0;1;0;589608.42;329971.37;861;2013
T.C-08.01;Jaskinia w Małym Krakowie;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;12;0;2.6;2.6;0;563137.95;154462.71;1044;2014
T.C-05.01;Schronisko w Międzyścianach I;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;4;0;0;0;0;559642.65;154278.9;1037;2010
G-2.16;Jaskinia Wodna;Region Świętokrzyski;Nowiny (gm. wiejska);Skarb Państwa;16;4;0;4;0;609467.09;328034.52;835;2013
T.A-12.02;Jasiowy Schron;Tatry;Zakopane (gm. miejska);Skarb Państwa;2.3;0;0;0;0;566502.5;156704.69;952;2010
T.B-12.05;Kominek w Jatkach;Tatry;Zakopane (gm. miejska);Skarb Państwa;5.3;0;5.2;5.2;0;566984.15;155511.73;1013;2010
G-7.8;Grota Skrzatów;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;653280.85;350586.76;881;2013
N-2.63;Jaskinia w Siesławicach;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;21;5;0;5;0;620180.37;288357.98;756;2013
N-2.54;Jaskinia pod Wygódką;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;12;0;1.5;1.5;0;619512.47;282977.2;749;2013
J.Śl-04.10;Jaskinia Triasowa w Bolęcinie;Wyżyna Śląsko-Krakowska;Trzebinia (gm. miejsko-wiejska);Prywatny;12.3;1.9;0;1.9;0;533510.78;249632.01;12290;2023
N-2.80;Grota Szydły II;Niecka Nidziańska;Szydłów (gm. miejsko-wiejska);Komunalny;8.5;0;0;0;0;641566.17;304368.22;779;2013
G-2.9;Schronisko Mechate;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;2;0;0;0;0;602853.79;328919.02;829;2013
N-2.74;Schronisko w Grodzisku;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Prywatny;6;0;0;0;0;627929.76;287644.43;771;2013
N-2.61;Jaskinia Szeroka;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);Komunalny;48;1.5;1.5;3;0;620023.36;288323.51;754;2013
N-2.46;Jaskinia Flisa;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;71;2;3;5;0;619315.41;282994.2;742;2013
N-27Ex;Sołecka Studnia w Gackach (N-2.6);Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;6.3;6.3;0;6.3;0;613520.25;288982.61;801;2013
N-14Ex;Jaskinia w Sielcu;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);;0;0;0;0;0;618233.99;279263.03;787;2013
G-2.27;Jaskinia Psia;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;16.5;4;0;4;0;595913.78;331751.78;846;2013
G-2.3;Studnia Gwarków;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;6.5;4;0;4;0;605473.02;329064.11;823;2013
G-7.12;Tunelik w Skałkach Adamowskich;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;2;0;2;0;651777.41;353972.61;885;2013
G-6.1;Grota Świętej Rozalii;Region Świętokrzyski;Strawczyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;597386.66;345988.2;870;2013
G-2.10;Czyściec;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Prywatny;2;0;0;0;0;601029.03;330180.63;830;2013
G-7.13;Schronisko Osobne;Region Świętokrzyski;Brody (gm. wiejska);Skarb Państwa (Lasy Państwowe);2.5;0;0;0;0;651976.65;353823.96;886;2013
G-1.33;Wojtkowa Dziura;Region Świętokrzyski;Piekoszów (gm. miejsko-wiejska);Skarb Państwa;2.5;0;2;2;0;605831.74;333550.51;811;2013
G-4.2;Jaskinia Dolomitowa;Region Świętokrzyski;Waśniów (gm. wiejska);Prywatny;10;2;0;2;0;652118.16;338376.83;851;2013
G-2.13;Schronisko Łaszczyńskich;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;5;2;0;2;0;596470.97;332287.2;832;2013
N-2.81;Jaskinia pod Świecami;Niecka Nidziańska;Staszów (gm. miejsko-wiejska);Prywatny;106;0;7;7;0;654341.08;306088.2;780;2013
